ytid,start_s,end_s,filename,status,error
GT9g4uqK9G8,30,40,[GT9g4uqK9G8]-[30-40].wav,failed,ERROR: [youtube] GT9g4uqK9G8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GSAMEMX_oAg,200,210,[GSAMEMX_oAg]-[200-210].wav,failed,ERROR: [youtube] GSAMEMX_oAg: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GU782ddSBvk,390,400,[GU782ddSBvk]-[390-400].wav,failed,ERROR: [youtube] GU782ddSBvk: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GWcTd6XrQj4,380,390,[GWcTd6XrQj4]-[380-390].wav,failed,ERROR: [youtube] GWcTd6XrQj4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GUwBLItoJXk,60,70,[GUwBLItoJXk]-[60-70].wav,failed,ERROR: [youtube] GUwBLItoJXk: This video is not available
GW6pti04qIo,130,140,[GW6pti04qIo]-[130-140].wav,failed,ERROR: [youtube] GW6pti04qIo: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GWcMqKYOJR4,20,30,[GWcMqKYOJR4]-[20-30].wav,failed,ERROR: [youtube] GWcMqKYOJR4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GWxiiDBK5s8,30,40,[GWxiiDBK5s8]-[30-40].wav,failed,ERROR: [youtube] GWxiiDBK5s8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GX-QhoihLeI,30,40,[GX-QhoihLeI]-[30-40].wav,failed,ERROR: [youtube] GX-QhoihLeI: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GcbCOmNiVm8,0,10,[GcbCOmNiVm8]-[0-10].wav,failed,ERROR: [youtube] GcbCOmNiVm8: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
G_iJif-fC6E,80,90,[G_iJif-fC6E]-[80-90].wav,failed,ERROR: [youtube] G_iJif-fC6E: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GaNjXwElAUE,30,40,[GaNjXwElAUE]-[30-40].wav,failed,ERROR: [youtube] GaNjXwElAUE: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GbjtSTTEFK4,30,40,[GbjtSTTEFK4]-[30-40].wav,failed,ERROR: [youtube] GbjtSTTEFK4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gc8xf7CJiFY,240,250,[Gc8xf7CJiFY]-[240-250].wav,failed,ERROR: [youtube] Gc8xf7CJiFY: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GYx6HNQbP1w,30,40,[GYx6HNQbP1w]-[30-40].wav,failed,ERROR: [youtube] GYx6HNQbP1w: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GXLeUXSVFYU,30,40,[GXLeUXSVFYU]-[30-40].wav,failed,ERROR: [youtube] GXLeUXSVFYU: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GcYeBWujhjw,10,20,[GcYeBWujhjw]-[10-20].wav,failed,ERROR: [youtube] GcYeBWujhjw: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GcOOmVSM8Uw,110,120,[GcOOmVSM8Uw]-[110-120].wav,failed,ERROR: [youtube] GcOOmVSM8Uw: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GcnLApOeCh0,30,40,[GcnLApOeCh0]-[30-40].wav,failed,ERROR: [youtube] GcnLApOeCh0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GYCfrx0ruz4,30,40,[GYCfrx0ruz4]-[30-40].wav,failed,ERROR: [youtube] GYCfrx0ruz4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GcqCHmHXEjo,30,40,[GcqCHmHXEjo]-[30-40].wav,failed,ERROR: [youtube] GcqCHmHXEjo: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GglIHiqClGM,30,40,[GglIHiqClGM]-[30-40].wav,failed,ERROR: [youtube] GglIHiqClGM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gde1fn1Y1uM,30,40,[Gde1fn1Y1uM]-[30-40].wav,failed,ERROR: [youtube] Gde1fn1Y1uM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gh4KBdcCU64,160,170,[Gh4KBdcCU64]-[160-170].wav,failed,ERROR: [youtube] Gh4KBdcCU64: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GiTmjE7az74,30,40,[GiTmjE7az74]-[30-40].wav,failed,ERROR: [youtube] GiTmjE7az74: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GinP_ZRgAoY,30,40,[GinP_ZRgAoY]-[30-40].wav,failed,ERROR: [youtube] GinP_ZRgAoY: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gj6etuzTWlQ,30,40,[Gj6etuzTWlQ]-[30-40].wav,failed,ERROR: [youtube] Gj6etuzTWlQ: This video is not available
GjE_iD2BbFg,190,200,[GjE_iD2BbFg]-[190-200].wav,failed,ERROR: [youtube] GjE_iD2BbFg: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gow0TlxIx7U,220,230,[Gow0TlxIx7U]-[220-230].wav,failed,ERROR: [youtube] Gow0TlxIx7U: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GopccU3Am1w,20,30,[GopccU3Am1w]-[20-30].wav,failed,ERROR: [youtube] GopccU3Am1w: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GkB_BkyVyPs,30,40,[GkB_BkyVyPs]-[30-40].wav,failed,ERROR: [youtube] GkB_BkyVyPs: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GmGWvBNO8JI,30,40,[GmGWvBNO8JI]-[30-40].wav,failed,ERROR: [youtube] GmGWvBNO8JI: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GrbrWNohr6Y,30,40,[GrbrWNohr6Y]-[30-40].wav,failed,ERROR: [youtube] GrbrWNohr6Y: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Grtmre_r9yI,250,260,[Grtmre_r9yI]-[250-260].wav,failed,ERROR: [youtube] Grtmre_r9yI: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GuHDy--gWiM,30,40,[GuHDy--gWiM]-[30-40].wav,failed,ERROR: [youtube] GuHDy--gWiM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GuJdy864xWM,30,40,[GuJdy864xWM]-[30-40].wav,failed,ERROR: [youtube] GuJdy864xWM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Guu30szkA-0,30,40,[Guu30szkA-0]-[30-40].wav,failed,ERROR: [youtube] Guu30szkA-0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GuQFhmGqdog,62,72,[GuQFhmGqdog]-[62-72].wav,failed,ERROR: [youtube] GuQFhmGqdog: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GuYRF0no7hw,30,40,[GuYRF0no7hw]-[30-40].wav,failed,ERROR: [youtube] GuYRF0no7hw: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gw0KmZ3kbjs,30,40,[Gw0KmZ3kbjs]-[30-40].wav,failed,ERROR: [youtube] Gw0KmZ3kbjs: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GwTXkfuc5v8,30,40,[GwTXkfuc5v8]-[30-40].wav,failed,ERROR: [youtube] GwTXkfuc5v8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GwxSvUoYSZg,10,20,[GwxSvUoYSZg]-[10-20].wav,failed,ERROR: [youtube] GwxSvUoYSZg: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GxeDIuOzxmU,30,40,[GxeDIuOzxmU]-[30-40].wav,failed,ERROR: [youtube] GxeDIuOzxmU: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
Gz8RlHf3Czs,30,40,[Gz8RlHf3Czs]-[30-40].wav,failed,ERROR: [youtube] Gz8RlHf3Czs: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GzRvq0gJbj0,70,80,[GzRvq0gJbj0]-[70-80].wav,failed,ERROR: [youtube] GzRvq0gJbj0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H-bTMbePj0A,30,40,[H-bTMbePj0A]-[30-40].wav,failed,ERROR: [youtube] H-bTMbePj0A: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
GyxH8ep_Vx8,30,40,[GyxH8ep_Vx8]-[30-40].wav,failed,ERROR: [youtube] GyxH8ep_Vx8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H18aK9HhNSM,30,40,[H18aK9HhNSM]-[30-40].wav,failed,ERROR: [youtube] H18aK9HhNSM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H4tyvJJzSDk,30,40,[H4tyvJJzSDk]-[30-40].wav,failed,ERROR: [youtube] H4tyvJJzSDk: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HAHn_zB47ig,80,90,[HAHn_zB47ig]-[80-90].wav,failed,ERROR: [youtube] HAHn_zB47ig: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
H4rdJlSSt5Y,30,40,[H4rdJlSSt5Y]-[30-40].wav,failed,ERROR: [youtube] H4rdJlSSt5Y: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H6qzijVEqZQ,10,20,[H6qzijVEqZQ]-[10-20].wav,failed,ERROR: [youtube] H6qzijVEqZQ: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H6rZwBc6aNM,30,40,[H6rZwBc6aNM]-[30-40].wav,failed,ERROR: [youtube] H6rZwBc6aNM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
H6Y_7Ax34-g,290,300,[H6Y_7Ax34-g]-[290-300].wav,failed,ERROR: [youtube] H6Y_7Ax34-g: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HCCGZh-TxK0,30,40,[HCCGZh-TxK0]-[30-40].wav,failed,ERROR: [youtube] HCCGZh-TxK0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HAEoz3VbaP8,0,10,[HAEoz3VbaP8]-[0-10].wav,failed,ERROR: [youtube] HAEoz3VbaP8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HDSV7Pzq8CA,80,90,[HDSV7Pzq8CA]-[80-90].wav,failed,ERROR: [youtube] HDSV7Pzq8CA: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HEhogaw0vUg,30,40,[HEhogaw0vUg]-[30-40].wav,failed,ERROR: [youtube] HEhogaw0vUg: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HEclHruM37s,210,220,[HEclHruM37s]-[210-220].wav,failed,ERROR: [youtube] HEclHruM37s: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HEk4fx_XNNE,20,30,[HEk4fx_XNNE]-[20-30].wav,failed,ERROR: [youtube] HEk4fx_XNNE: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HHTgjmgTV6c,30,40,[HHTgjmgTV6c]-[30-40].wav,failed,ERROR: [youtube] HHTgjmgTV6c: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HFH9tcIK_PM,170,180,[HFH9tcIK_PM]-[170-180].wav,failed,ERROR: [youtube] HFH9tcIK_PM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HFVM5pVTwkM,150,160,[HFVM5pVTwkM]-[150-160].wav,failed,ERROR: [youtube] HFVM5pVTwkM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HH3ryAEP308,30,40,[HH3ryAEP308]-[30-40].wav,failed,ERROR: [youtube] HH3ryAEP308: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HIDXdH6R6T8,220,230,[HIDXdH6R6T8]-[220-230].wav,failed,ERROR: [youtube] HIDXdH6R6T8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HLXGkzzQHUU,30,40,[HLXGkzzQHUU]-[30-40].wav,failed,ERROR: [youtube] HLXGkzzQHUU: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HJuR9WJ1iRY,40,50,[HJuR9WJ1iRY]-[40-50].wav,failed,ERROR: [youtube] HJuR9WJ1iRY: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HHZGjS4g-w4,30,40,[HHZGjS4g-w4]-[30-40].wav,failed,ERROR: [youtube] HHZGjS4g-w4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HLz3N5nG8fQ,30,40,[HLz3N5nG8fQ]-[30-40].wav,failed,ERROR: [youtube] HLz3N5nG8fQ: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HMJe5jS0Yt4,30,40,[HMJe5jS0Yt4]-[30-40].wav,failed,ERROR: [youtube] HMJe5jS0Yt4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HLsRePLObfI,30,40,[HLsRePLObfI]-[30-40].wav,failed,ERROR: [youtube] HLsRePLObfI: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
HMQfp_qtF-M,220,230,[HMQfp_qtF-M]-[220-230].wav,failed,ERROR: [youtube] HMQfp_qtF-M: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
